RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value
358,Bolivia,F,Education,Secondary,... for at least one specific reason,1/1/2008,15.3
358,Bolivia,F,Residence,Rural,... for at least one specific reason,1/1/2008,20.1
358,Bolivia,F,Residence,Urban,... for at least one specific reason,1/1/2008,14
78,Bolivia,F,Residence,Rural,... if she argues with him,1/1/2008,7.7
9,Burkina Faso,F,Education,No education,... if she burns the food,1/1/2010,11.2
9,Burkina Faso,F,Residence,Rural,... if she burns the food,1/1/2010,11.2
9,Burkina Faso,F,Employment,Unemployed,... if she burns the food,1/1/2010,12.1
220,Burundi,M,Employment,Unemployed,... if she neglects the children,1/1/2016,32.7
290,Burundi,M,Employment,Employed for cash,... if she refuses to have sex with him,1/1/2016,12.6
290,Burundi,M,Employment,Employed for kind,... if she refuses to have sex with him,1/1/2016,13.5
11,Cambodia,F,Marital status,"Widowed, divorced, separated",... if she burns the food,1/1/2014,13.9
11,Cambodia,F,Education,Primary,... if she burns the food,1/1/2014,14.4
11,Cambodia,F,Age,35-49,... if she burns the food,1/1/2014,15.8
11,Cambodia,F,Education,No education,... if she burns the food,1/1/2014,17.6
361,Cambodia,F,Residence,Rural,... for at least one specific reason,1/1/2014,52.7
361,Cambodia,F,Residence,Urban,... for at least one specific reason,1/1/2014,37
81,Cambodia,F,Residence,Rural,... if she argues with him,1/1/2014,26
81,Cambodia,F,Residence,Urban,... if she argues with him,1/1/2014,14.4
151,Cambodia,F,Residence,Rural,... if she goes out without telling him,1/1/2014,33.5
151,Cambodia,F,Residence,Urban,... if she goes out without telling him,1/1/2014,21.5
221,Cambodia,F,Residence,Rural,... if she neglects the children,1/1/2014,46.2
221,Cambodia,F,Residence,Urban,... if she neglects the children,1/1/2014,32.7
291,Cambodia,F,Residence,Rural,... if she refuses to have sex with him,1/1/2014,14.2
291,Cambodia,F,Residence,Urban,... if she refuses to have sex with him,1/1/2014,6.3
361,Cambodia,M,Residence,Rural,... for at least one specific reason,1/1/2014,28.8
361,Cambodia,M,Residence,Urban,... for at least one specific reason,1/1/2014,12.6
81,Cambodia,M,Residence,Rural,... if she argues with him,1/1/2014,12.6
81,Cambodia,M,Residence,Urban,... if she argues with him,1/1/2014,4.3
151,Cambodia,M,Residence,Rural,... if she goes out without telling him,1/1/2014,13.9
151,Cambodia,M,Residence,Urban,... if she goes out without telling him,1/1/2014,5.6
221,Cambodia,M,Residence,Rural,... if she neglects the children,1/1/2014,21.3
12,Cameroon,F,Employment,Unemployed,... if she burns the food,1/1/2011,12.5
12,Cameroon,F,Marital status,"Widowed, divorced, separated",... if she burns the food,1/1/2011,12.5
12,Cameroon,F,Employment,Employed for cash,... if she burns the food,1/1/2011,13.9
12,Cameroon,F,Age,35-49,... if she burns the food,1/1/2011,14.1
12,Cameroon,F,Age,15-24,... if she burns the food,1/1/2011,14.4
12,Cameroon,F,Marital status,Married or living together,... if she burns the food,1/1/2011,14.8
12,Cameroon,F,Employment,Employed for kind,... if she burns the food,1/1/2011,15.3
12,Cameroon,F,Education,Primary,... if she burns the food,1/1/2011,15.9
12,Cameroon,F,Residence,Rural,... if she burns the food,1/1/2011,19.5
12,Cameroon,F,Education,No education,... if she burns the food,1/1/2011,20.9
222,Cameroon,F,Age,35-49,... if she neglects the children,1/1/2011,36.7
292,Cameroon,F,Age,15-24,... if she refuses to have sex with him,1/1/2011,12.4
292,Cameroon,F,Age,25-34,... if she refuses to have sex with him,1/1/2011,13.8
292,Cameroon,F,Age,35-49,... if she refuses to have sex with him,1/1/2011,17.1
362,Cameroon,F,Education,Higher,... for at least one specific reason,1/1/2011,13.7
362,Cameroon,F,Education,No education,... for at least one specific reason,1/1/2011,49.6
362,Cameroon,F,Education,Primary,... for at least one specific reason,1/1/2011,51.6
362,Cameroon,F,Education,Secondary,... for at least one specific reason,1/1/2011,45.1
364,Colombia,F,Education,No education,... for at least one specific reason,1/1/2015,12.7
156,Congo,F,Marital status,Married or living together,... if she goes out without telling him,1/1/2011,41.1
156,Congo,F,Marital status,Never married,... if she goes out without telling him,1/1/2011,39.2
156,Congo,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,1/1/2011,42.7
226,Congo,F,Marital status,Married or living together,... if she neglects the children,1/1/2011,46.6
226,Congo,F,Marital status,Never married,... if she neglects the children,1/1/2011,47.7
226,Congo,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,1/1/2011,45.8
296,Congo,F,Marital status,Married or living together,... if she refuses to have sex with him,1/1/2011,28.2
296,Congo,F,Marital status,Never married,... if she refuses to have sex with him,1/1/2011,20.7
296,Congo,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1/1/2011,28.5
366,Congo,F,Residence,Rural,... for at least one specific reason,1/1/2011,60.9
366,Congo,F,Residence,Urban,... for at least one specific reason,1/1/2011,60.6
156,Congo,F,Residence,Rural,... if she goes out without telling him,1/1/2011,42.3
156,Congo,F,Residence,Urban,... if she goes out without telling him,1/1/2011,40.2
226,Congo,F,Residence,Rural,... if she neglects the children,1/1/2011,46.9
19,Dominican Republic,F,Residence,Urban,... if she burns the food,1/1/2013,0.6
19,Dominican Republic,F,Age,15-24,... if she burns the food,1/1/2013,0.7
19,Dominican Republic,F,Age,35-49,... if she burns the food,1/1/2013,0.7
19,Dominican Republic,F,Employment,Employed for kind,... if she burns the food,1/1/2013,0.7
19,Dominican Republic,F,Residence,Rural,... if she burns the food,1/1/2013,0.7
19,Dominican Republic,F,Employment,Unemployed,... if she burns the food,1/1/2013,0.8
19,Dominican Republic,M,Age,15-24,... if she burns the food,1/1/2013,1.4
19,Dominican Republic,M,Education,Primary,... if she burns the food,1/1/2013,1.5
19,Dominican Republic,M,Education,No education,... if she burns the food,1/1/2013,3.1
159,Dominican Republic,F,Education,No education,... if she goes out without telling him,1/1/2013,1.9
159,Dominican Republic,F,Education,Primary,... if she goes out without telling him,1/1/2013,1.5
159,Dominican Republic,F,Education,Secondary,... if she goes out without telling him,1/1/2013,0.7
229,Dominican Republic,F,Education,Higher,... if she neglects the children,1/1/2013,0.3
229,Dominican Republic,F,Education,No education,... if she neglects the children,1/1/2013,2.5
229,Dominican Republic,F,Education,Primary,... if she neglects the children,1/1/2013,3.3
229,Dominican Republic,F,Education,Secondary,... if she neglects the children,1/1/2013,1.5
299,Dominican Republic,F,Education,Higher,... if she refuses to have sex with him,1/1/2013,0.2
299,Dominican Republic,F,Education,No education,... if she refuses to have sex with him,1/1/2013,2.1
299,Dominican Republic,F,Education,Primary,... if she refuses to have sex with him,1/1/2013,0.6
89,Dominican Republic,M,Education,Primary,... if she argues with him,1/1/2013,1.7
89,Dominican Republic,M,Education,Secondary,... if she argues with him,1/1/2013,0.7
300,Egypt,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1/1/2014,20.2
370,Egypt,F,Residence,Rural,... for at least one specific reason,1/1/2014,43.9
370,Egypt,F,Residence,Urban,... for at least one specific reason,1/1/2014,20.3
90,Egypt,F,Residence,Rural,... if she argues with him,1/1/2014,16.3
90,Egypt,F,Residence,Urban,... if she argues with him,1/1/2014,6.2
160,Egypt,F,Residence,Rural,... if she goes out without telling him,1/1/2014,31.7
160,Egypt,F,Residence,Urban,... if she goes out without telling him,1/1/2014,14
230,Egypt,F,Residence,Rural,... if she neglects the children,1/1/2014,30.1
230,Egypt,F,Residence,Urban,... if she neglects the children,1/1/2014,13
300,Egypt,F,Residence,Rural,... if she refuses to have sex with him,1/1/2014,25.1
300,Egypt,F,Residence,Urban,... if she refuses to have sex with him,1/1/2014,10.2
93,Ethiopia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,1/1/2016,39.7
163,Ethiopia,F,Marital status,Married or living together,... if she goes out without telling him,1/1/2016,47.5
163,Ethiopia,F,Marital status,Never married,... if she goes out without telling him,1/1/2016,34.4
163,Ethiopia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,1/1/2016,38.7
233,Ethiopia,F,Marital status,Married or living together,... if she neglects the children,1/1/2016,50.8
233,Ethiopia,F,Marital status,Never married,... if she neglects the children,1/1/2016,39.8
233,Ethiopia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,1/1/2016,45.4
303,Ethiopia,F,Marital status,Married or living together,... if she refuses to have sex with him,1/1/2016,39.4
303,Ethiopia,F,Marital status,Never married,... if she refuses to have sex with him,1/1/2016,23.6
303,Ethiopia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1/1/2016,32.7
373,Ethiopia,F,Residence,Rural,... for at least one specific reason,1/1/2016,69.8
373,Ethiopia,F,Residence,Urban,... for at least one specific reason,1/1/2016,39.2
93,Ethiopia,F,Residence,Rural,... if she argues with him,1/1/2016,48.1
93,Ethiopia,F,Residence,Urban,... if she argues with him,1/1/2016,21.1
373,Ethiopia,M,Education,No education,... for at least one specific reason,1/1/2016,36
373,Ethiopia,M,Education,Primary,... for at least one specific reason,1/1/2016,29
373,Ethiopia,M,Education,Secondary,... for at least one specific reason,1/1/2016,18
93,Ethiopia,M,Education,Higher,... if she argues with him,1/1/2016,5.5
93,Ethiopia,M,Education,No education,... if she argues with him,1/1/2016,21.5
93,Ethiopia,M,Education,Primary,... if she argues with him,1/1/2016,17.4
93,Ethiopia,M,Education,Secondary,... if she argues with him,1/1/2016,7.9
163,Ethiopia,M,Education,Higher,... if she goes out without telling him,1/1/2016,5.6
163,Ethiopia,M,Education,No education,... if she goes out without telling him,1/1/2016,22.4
24,Gabon,M,Employment,Unemployed,... if she burns the food,1/1/2012,8.2
24,Gabon,M,Age,15-24,... if she burns the food,1/1/2012,8.5
24,Gabon,M,Education,No education,... if she burns the food,1/1/2012,9.9
374,Gabon,F,Age,15-24,... for at least one specific reason,1/1/2012,55
374,Gabon,F,Age,25-34,... for at least one specific reason,1/1/2012,46.2
374,Gabon,F,Age,35-49,... for at least one specific reason,1/1/2012,47.9
94,Gabon,F,Age,15-24,... if she argues with him,1/1/2012,27
94,Gabon,F,Age,25-34,... if she argues with him,1/1/2012,23.6
94,Gabon,F,Age,35-49,... if she argues with him,1/1/2012,27.6
164,Gabon,F,Age,15-24,... if she goes out without telling him,1/1/2012,17.9
164,Gabon,F,Age,25-34,... if she goes out without telling him,1/1/2012,18.1
164,Gabon,F,Age,35-49,... if she goes out without telling him,1/1/2012,21.8
234,Gabon,F,Age,15-24,... if she neglects the children,1/1/2012,45
234,Gabon,F,Age,25-34,... if she neglects the children,1/1/2012,36.6
234,Gabon,F,Age,35-49,... if she neglects the children,1/1/2012,37.3
374,Gabon,F,Education,No education,... for at least one specific reason,1/1/2012,58.7
374,Gabon,F,Education,Primary,... for at least one specific reason,1/1/2012,59
374,Gabon,F,Education,Secondary,... for at least one specific reason,1/1/2012,50.7
94,Gabon,F,Education,Higher,... if she argues with him,1/1/2012,10.9
94,Gabon,F,Education,No education,... if she argues with him,1/1/2012,37.1
94,Gabon,F,Education,Primary,... if she argues with him,1/1/2012,35
94,Gabon,F,Education,Secondary,... if she argues with him,1/1/2012,24.7
164,Gabon,F,Education,Higher,... if she goes out without telling him,1/1/2012,3.8
164,Gabon,F,Education,No education,... if she goes out without telling him,1/1/2012,35.6
164,Gabon,F,Education,Primary,... if she goes out without telling him,1/1/2012,32.6
164,Gabon,F,Education,Secondary,... if she goes out without telling him,1/1/2012,15.7
234,Gabon,F,Education,Higher,... if she neglects the children,1/1/2012,17.1
234,Gabon,F,Education,No education,... if she neglects the children,1/1/2012,50.2
234,Gabon,F,Education,Primary,... if she neglects the children,1/1/2012,46.2
234,Gabon,F,Education,Secondary,... if she neglects the children,1/1/2012,41.1
304,Gabon,F,Education,Higher,... if she refuses to have sex with him,1/1/2012,2.2
304,Gabon,F,Education,No education,... if she refuses to have sex with him,1/1/2012,23.2
304,Gabon,F,Education,Primary,... if she refuses to have sex with him,1/1/2012,16.3
304,Gabon,F,Education,Secondary,... if she refuses to have sex with him,1/1/2012,6.4
374,Gabon,F,Employment,Employed for cash,... for at least one specific reason,1/1/2012,48.8
374,Gabon,F,Employment,Employed for kind,... for at least one specific reason,1/1/2012,57.7
374,Gabon,F,Employment,Unemployed,... for at least one specific reason,1/1/2012,50.5
94,Gabon,F,Employment,Employed for cash,... if she argues with him,1/1/2012,26.3
94,Gabon,F,Employment,Employed for kind,... if she argues with him,1/1/2012,31.7
94,Gabon,F,Employment,Unemployed,... if she argues with him,1/1/2012,25.1
164,Gabon,F,Employment,Employed for cash,... if she goes out without telling him,1/1/2012,18.6
164,Gabon,F,Employment,Employed for kind,... if she goes out without telling him,1/1/2012,26.8
164,Gabon,F,Employment,Unemployed,... if she goes out without telling him,1/1/2012,18.4
234,Gabon,F,Employment,Employed for cash,... if she neglects the children,1/1/2012,38.2
234,Gabon,F,Employment,Employed for kind,... if she neglects the children,1/1/2012,48.3
234,Gabon,F,Employment,Unemployed,... if she neglects the children,1/1/2012,40.8
304,Gabon,F,Employment,Employed for cash,... if she refuses to have sex with him,1/1/2012,10.4
304,Gabon,F,Employment,Employed for kind,... if she refuses to have sex with him,1/1/2012,12.3
304,Gabon,F,Employment,Unemployed,... if she refuses to have sex with him,1/1/2012,7.1
374,Gabon,F,Marital status,Married or living together,... for at least one specific reason,1/1/2012,51.3
374,Gabon,F,Marital status,Never married,... for at least one specific reason,1/1/2012,47.8
374,Gabon,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,1/1/2012,53.3
94,Gabon,F,Marital status,Married or living together,... if she argues with him,1/1/2012,28
94,Gabon,F,Marital status,Never married,... if she argues with him,1/1/2012,22.1
94,Gabon,F,Marital status,"Widowed, divorced, separated",... if she argues with him,1/1/2012,30.1
164,Gabon,F,Marital status,Married or living together,... if she goes out without telling him,1/1/2012,21.9
164,Gabon,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,1/1/2012,20.3
234,Gabon,F,Marital status,Married or living together,... if she neglects the children,1/1/2012,40.6
234,Gabon,F,Marital status,Never married,... if she neglects the children,1/1/2012,38.5
234,Gabon,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,1/1/2012,43.8
374,Gabon,F,Residence,Rural,... for at least one specific reason,1/1/2012,60.9
374,Gabon,F,Residence,Urban,... for at least one specific reason,1/1/2012,48.9
94,Gabon,F,Residence,Rural,... if she argues with him,1/1/2012,38.7
94,Gabon,F,Residence,Urban,... if she argues with him,1/1/2012,24.5
164,Gabon,F,Residence,Rural,... if she goes out without telling him,1/1/2012,33.3
164,Gabon,F,Residence,Urban,... if she goes out without telling him,1/1/2012,17.2
234,Gabon,F,Residence,Rural,... if she neglects the children,1/1/2012,49.7
234,Gabon,F,Residence,Urban,... if she neglects the children,1/1/2012,39
304,Gabon,F,Residence,Rural,... if she refuses to have sex with him,1/1/2012,16.2
304,Gabon,F,Residence,Urban,... if she refuses to have sex with him,1/1/2012,7.9
374,Gabon,M,Age,15-24,... for at least one specific reason,1/1/2012,44.1
374,Gabon,M,Age,25-34,... for at least one specific reason,1/1/2012,41.5
374,Gabon,M,Age,35-49,... for at least one specific reason,1/1/2012,33.3
94,Gabon,M,Age,15-24,... if she argues with him,1/1/2012,22.5
94,Gabon,M,Age,25-34,... if she argues with him,1/1/2012,19.7
94,Gabon,M,Age,35-49,... if she argues with him,1/1/2012,16.2
164,Gabon,M,Age,15-24,... if she goes out without telling him,1/1/2012,14.9
164,Gabon,M,Age,25-34,... if she goes out without telling him,1/1/2012,14.4
164,Gabon,M,Age,35-49,... if she goes out without telling him,1/1/2012,12.8
234,Gabon,M,Age,15-24,... if she neglects the children,1/1/2012,32.8
234,Gabon,M,Age,25-34,... if she neglects the children,1/1/2012,31.2
234,Gabon,M,Age,35-49,... if she neglects the children,1/1/2012,22.9
374,Gabon,M,Education,Higher,... for at least one specific reason,1/1/2012,23.5
374,Gabon,M,Education,No education,... for at least one specific reason,1/1/2012,37.4
374,Gabon,M,Education,Primary,... for at least one specific reason,1/1/2012,40.1
374,Gabon,M,Education,Secondary,... for at least one specific reason,1/1/2012,43.6
94,Gabon,M,Education,Higher,... if she argues with him,1/1/2012,11.3
94,Gabon,M,Education,No education,... if she argues with him,1/1/2012,21.3
26,Ghana,F,Age,25-34,... if she burns the food,1/1/2014,6.8
26,Ghana,F,Marital status,Married or living together,... if she burns the food,1/1/2014,8.2
26,Ghana,F,Employment,Unemployed,... if she burns the food,1/1/2014,8.3
26,Ghana,F,Age,15-24,... if she burns the food,1/1/2014,8.9
26,Ghana,F,Education,Primary,... if she burns the food,1/1/2014,9.7
26,Ghana,F,Employment,Employed for kind,... if she burns the food,1/1/2014,10.2
26,Ghana,F,Residence,Rural,... if she burns the food,1/1/2014,10.8
26,Ghana,F,Education,No education,... if she burns the food,1/1/2014,15.4
170,Haiti,F,Age,15-24,... if she goes out without telling him,1/1/2016,12.6
170,Haiti,F,Age,25-34,... if she goes out without telling him,1/1/2016,10.1
170,Haiti,F,Age,35-49,... if she goes out without telling him,1/1/2016,10.2
240,Haiti,F,Age,15-24,... if she neglects the children,1/1/2016,12.4
240,Haiti,F,Age,25-34,... if she neglects the children,1/1/2016,8.3
240,Haiti,F,Age,35-49,... if she neglects the children,1/1/2016,8.5
100,Haiti,F,Education,No education,... if she argues with him,1/1/2016,4.4
100,Haiti,F,Education,Primary,... if she argues with him,1/1/2016,3.7
100,Haiti,F,Education,Secondary,... if she argues with him,1/1/2016,1.6
170,Haiti,F,Education,Higher,... if she goes out without telling him,1/1/2016,0.7
170,Haiti,F,Education,No education,... if she goes out without telling him,1/1/2016,15.6
170,Haiti,F,Education,Primary,... if she goes out without telling him,1/1/2016,16.5
380,Haiti,F,Employment,Employed for cash,... for at least one specific reason,1/1/2016,15.5
380,Haiti,F,Employment,Employed for kind,... for at least one specific reason,1/1/2016,16.4
380,Haiti,F,Employment,Unemployed,... for at least one specific reason,1/1/2016,17.9
380,Haiti,F,Marital status,Married or living together,... for at least one specific reason,1/1/2016,16.1
380,Haiti,F,Marital status,Never married,... for at least one specific reason,1/1/2016,17
380,Haiti,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,1/1/2016,17.6
100,Haiti,F,Marital status,Married or living together,... if she argues with him,1/1/2016,2.7
100,Haiti,F,Marital status,Never married,... if she argues with him,1/1/2016,2.3
100,Haiti,F,Marital status,"Widowed, divorced, separated",... if she argues with him,1/1/2016,2.2
170,Haiti,F,Marital status,Married or living together,... if she goes out without telling him,1/1/2016,11.7
170,Haiti,F,Marital status,Never married,... if she goes out without telling him,1/1/2016,10.5
170,Haiti,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,1/1/2016,11.1
380,Haiti,F,Residence,Rural,... for at least one specific reason,1/1/2016,19.4
380,Haiti,F,Residence,Urban,... for at least one specific reason,1/1/2016,13.4
100,Haiti,F,Residence,Rural,... if she argues with him,1/1/2016,3.1
380,Haiti,M,Education,Higher,... for at least one specific reason,1/1/2016,3.5
380,Haiti,M,Education,No education,... for at least one specific reason,1/1/2016,10.7
380,Haiti,M,Education,Primary,... for at least one specific reason,1/1/2016,15.3
382,India,F,Age,15-24,... for at least one specific reason,1/1/2015,41.6
382,India,F,Age,25-34,... for at least one specific reason,1/1/2015,44.7
382,India,F,Age,35-49,... for at least one specific reason,1/1/2015,47.7
102,India,F,Age,15-24,... if she argues with him,1/1/2015,26.4
102,India,F,Age,25-34,... if she argues with him,1/1/2015,29.1
102,India,F,Age,35-49,... if she argues with him,1/1/2015,31.7
172,India,F,Age,15-24,... if she goes out without telling him,1/1/2015,23.6
172,India,F,Age,25-34,... if she goes out without telling him,1/1/2015,26.2
172,India,F,Age,35-49,... if she goes out without telling him,1/1/2015,28.6
242,India,F,Age,15-24,... if she neglects the children,1/1/2015,30.4
242,India,F,Age,25-34,... if she neglects the children,1/1/2015,32.8
242,India,F,Age,35-49,... if she neglects the children,1/1/2015,35.1
382,India,F,Education,Higher,... for at least one specific reason,1/1/2015,33.8
382,India,F,Education,No education,... for at least one specific reason,1/1/2015,51.6
382,India,F,Education,Primary,... for at least one specific reason,1/1/2015,48.4
382,India,F,Education,Secondary,... for at least one specific reason,1/1/2015,42.9
102,India,F,Education,Higher,... if she argues with him,1/1/2015,18.4
102,India,F,Education,No education,... if she argues with him,1/1/2015,36.2
102,India,F,Education,Primary,... if she argues with him,1/1/2015,33.1
102,India,F,Education,Secondary,... if she argues with him,1/1/2015,27.2
172,India,F,Education,Higher,... if she goes out without telling him,1/1/2015,18.4
172,India,F,Education,No education,... if she goes out without telling him,1/1/2015,31.7
172,India,F,Education,Primary,... if she goes out without telling him,1/1/2015,28.9
172,India,F,Education,Secondary,... if she goes out without telling him,1/1/2015,24.6
242,India,F,Education,Higher,... if she neglects the children,1/1/2015,25.2
242,India,F,Education,No education,... if she neglects the children,1/1/2015,37.2
242,India,F,Education,Primary,... if she neglects the children,1/1/2015,35.1
242,India,F,Education,Secondary,... if she neglects the children,1/1/2015,31.9
382,India,F,Employment,Employed for cash,... for at least one specific reason,1/1/2015,50.9
382,India,F,Employment,Employed for kind,... for at least one specific reason,1/1/2015,52.4
382,India,F,Employment,Unemployed,... for at least one specific reason,1/1/2015,41.8
102,India,F,Employment,Employed for cash,... if she argues with him,1/1/2015,33.6
102,India,F,Employment,Employed for kind,... if she argues with him,1/1/2015,36.6
102,India,F,Employment,Unemployed,... if she argues with him,1/1/2015,26.9
172,India,F,Employment,Employed for cash,... if she goes out without telling him,1/1/2015,30.6
172,India,F,Employment,Employed for kind,... if she goes out without telling him,1/1/2015,31.9
172,India,F,Employment,Unemployed,... if she goes out without telling him,1/1/2015,24.1
242,India,F,Employment,Employed for cash,... if she neglects the children,1/1/2015,38.7
242,India,F,Employment,Employed for kind,... if she neglects the children,1/1/2015,37.3
242,India,F,Employment,Unemployed,... if she neglects the children,1/1/2015,30.3
382,India,F,Marital status,Married or living together,... for at least one specific reason,1/1/2015,46.5
382,India,F,Marital status,Never married,... for at least one specific reason,1/1/2015,38.4
382,India,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,1/1/2015,47.4
102,India,F,Marital status,Married or living together,... if she argues with him,1/1/2015,30.7
102,India,F,Marital status,Never married,... if she argues with him,1/1/2015,23.6
102,India,F,Marital status,"Widowed, divorced, separated",... if she argues with him,1/1/2015,31.3
172,India,F,Marital status,Married or living together,... if she goes out without telling him,1/1/2015,27.5
172,India,F,Marital status,Never married,... if she goes out without telling him,1/1/2015,21.3
172,India,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,1/1/2015,29.5
242,India,F,Marital status,Married or living together,... if she neglects the children,1/1/2015,34
242,India,F,Marital status,Never married,... if she neglects the children,1/1/2015,28.1
242,India,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,1/1/2015,36.9
312,India,F,Marital status,Married or living together,... if she refuses to have sex with him,1/1/2015,14.3
312,India,F,Marital status,Never married,... if she refuses to have sex with him,1/1/2015,9.7
312,India,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1/1/2015,16.3
382,India,F,Residence,Rural,... for at least one specific reason,1/1/2015,47.4
382,India,F,Residence,Urban,... for at least one specific reason,1/1/2015,39.8
102,India,F,Residence,Rural,... if she argues with him,1/1/2015,32
102,India,F,Residence,Urban,... if she argues with him,1/1/2015,24
172,India,F,Residence,Rural,... if she goes out without telling him,1/1/2015,27.7
172,India,F,Residence,Urban,... if she goes out without telling him,1/1/2015,23.3
242,India,F,Residence,Rural,... if she neglects the children,1/1/2015,34.5
242,India,F,Residence,Urban,... if she neglects the children,1/1/2015,29.7
382,India,M,Age,15-24,... for at least one specific reason,1/1/2015,33.7
382,India,M,Age,25-34,... for at least one specific reason,1/1/2015,31.3
382,India,M,Age,35-49,... for at least one specific reason,1/1/2015,30.6
102,India,M,Age,15-24,... if she argues with him,1/1/2015,22.4
33,Indonesia,F,Residence,Urban,... if she burns the food,1/1/2012,1.2
33,Indonesia,F,Education,Secondary,... if she burns the food,1/1/2012,2
33,Indonesia,F,Age,25-34,... if she burns the food,1/1/2012,2.1
33,Indonesia,F,Employment,Employed for cash,... if she burns the food,1/1/2012,2.2
33,Indonesia,F,Employment,Unemployed,... if she burns the food,1/1/2012,2.4
33,Indonesia,F,Age,35-49,... if she burns the food,1/1/2012,2.5
